Store code,Business name,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Sub-locality,Locality,Administrative area,Country / Region,Postal code,Latitude,Longitude,Primary phone,Additional phones,Website,Primary category,Additional categories,Sunday hours,Monday hours,Tuesday hours,Wednesday hours,Thursday hours,Friday hours,Saturday hours,Special hours,From the business,Opening date,Logo photo,Cover photo,Other photos,Labels,AdWords location extensions phone,Amenities: Wi-Fi (wi_fi),From the business: Identifies as women-owned (is_owned_by_women),Payments: Credit cards (pay_credit_card_types_accepted): American Express (american_express),Payments: Credit cards (pay_credit_card_types_accepted): MasterCard (mastercard),Payments: Credit cards (pay_credit_card_types_accepted): VISA (visa),Place page URLs: Menu or services link (url_menu),Place page URLs: Order ahead links (url_order_ahead)
11,My Business,"Rodovia BR-020, Km 3 ",,,,,Morada Nobre,Barreiras,BA,BR,47810-902,,,(11) 2345-6800,"(11) 2345-6801, (11) 2345-6802",https://www.google.com,Restaurant,"Ice cream shop,Pizza delivery",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,23:00-02:00,"2026-12-31: 05:00-23:00, 2027-01-01: x","We are an independent ice cream shop located steps from the center of town, and are proud to be the favorite for locals to meet friends for a cone or call for a fresh pizza, delivered straight to their home. We serve 35 flavors of homemade, hand-churned ice creams and sorbets year-round, and the pizza oven turns out New York-style pies every day from midday until close. Come see us today!",,https://www.gstatic.com/images/branding/product/2x/google_my_business_512dp.png,https://lh5.googleusercontent.com/-PHmqjc_EgoM/Vo1zG1aivdI/AAAAAAAAMdc/QiMFMYVulFsnyBNr8f82we9tmZ9_VSb-w/w2048-h1152-no/02-coverphotos-googleplus.png,"https://www.gstatic.com/images/branding/product/2x/google_plus_512dp.png, https://www.gstatic.com/images/branding/product/1x/chrome_512dp.png","High-traffic, Recently opened",(11) 2345-6804,Free (free_wi_fi),Yes,No,,Yes,https://www.google.com/menu,"https://www.google.com/order-ahead-1, https://www.google.com/order-ahead-2"
12,My Business,"Av. Vinte de Janeiro, s/nº",,,,,Galeão,Rio de Janeiro,RJ,BR,21942-900,,,(11) 2345-6801,"(11) 2345-6802, (11) 2345-6803",https://www.google.com,Restaurant,"Ice cream shop,Pizza delivery",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,23:00-02:00,"2026-12-31: 05:00-23:00, 2027-01-01: x","We are an independent ice cream shop located steps from the center of town, and are proud to be the favorite for locals to meet friends for a cone or call for a fresh pizza, delivered straight to their home. We serve 35 flavors of homemade, hand-churned ice creams and sorbets year-round, and the pizza oven turns out New York-style pies every day from midday until close. Come see us today!",,https://www.gstatic.com/images/branding/product/2x/google_my_business_512dp.png,https://lh5.googleusercontent.com/-PHmqjc_EgoM/Vo1zG1aivdI/AAAAAAAAMdc/QiMFMYVulFsnyBNr8f82we9tmZ9_VSb-w/w2048-h1152-no/02-coverphotos-googleplus.png,"https://www.gstatic.com/images/branding/product/2x/google_plus_512dp.png, https://www.gstatic.com/images/branding/product/1x/chrome_512dp.png","High-traffic, Recently opened",(11) 2345-6805,Free (free_wi_fi),Yes,,,Yes,https://www.google.com/menu,"https://www.google.com/order-ahead-1, https://www.google.com/order-ahead-2"
13,My Business,"1253, avenue McGill College",,,,,,Montréal,QC,CA,H3B 2Y5,,,(506) 234-5691,"(506) 234-5692, (506) 234-5693",https://www.google.com,Restaurant,"Ice cream shop,Pizza delivery",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,23:00-02:00,"2026-12-31: 05:00-23:00, 2027-01-01: x","We are an independent ice cream shop located steps from the center of town, and are proud to be the favorite for locals to meet friends for a cone or call for a fresh pizza, delivered straight to their home. We serve 35 flavors of homemade, hand-churned ice creams and sorbets year-round, and the pizza oven turns out New York-style pies every day from midday until close. Come see us today!",,https://www.gstatic.com/images/branding/product/2x/google_my_business_512dp.png,https://lh5.googleusercontent.com/-PHmqjc_EgoM/Vo1zG1aivdI/AAAAAAAAMdc/QiMFMYVulFsnyBNr8f82we9tmZ9_VSb-w/w2048-h1152-no/02-coverphotos-googleplus.png,"https://www.gstatic.com/images/branding/product/2x/google_plus_512dp.png, https://www.gstatic.com/images/branding/product/1x/chrome_512dp.png","High-traffic, Recently opened",(506) 234-5695,Free (free_wi_fi),Yes,Yes,Yes,Yes,https://www.google.com/menu,"https://www.google.com/order-ahead-1, https://www.google.com/order-ahead-2"
14,My Business,"2705, boulevard Laurier, bureau 500",,,,,,Québec,QC,CA,G1V 4G2,,,(506) 234-5692,"(506) 234-5693, (506) 234-5694",https://www.google.com,Restaurant,"Ice cream shop,Pizza delivery",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,23:00-02:00,"2026-12-31: 05:00-23:00, 2027-01-01: x","We are an independent ice cream shop located steps from the center of town, and are proud to be the favorite for locals to meet friends for a cone or call for a fresh pizza, delivered straight to their home. We serve 35 flavors of homemade, hand-churned ice creams and sorbets year-round, and the pizza oven turns out New York-style pies every day from midday until close. Come see us today!",,https://www.gstatic.com/images/branding/product/2x/google_my_business_512dp.png,https://lh5.googleusercontent.com/-PHmqjc_EgoM/Vo1zG1aivdI/AAAAAAAAMdc/QiMFMYVulFsnyBNr8f82we9tmZ9_VSb-w/w2048-h1152-no/02-coverphotos-googleplus.png,"https://www.gstatic.com/images/branding/product/2x/google_plus_512dp.png, https://www.gstatic.com/images/branding/product/1x/chrome_512dp.png","High-traffic, Recently opened",(506) 234-5696,Free (free_wi_fi),Yes,No,Yes,Yes,https://www.google.com/menu,"https://www.google.com/order-ahead-1, https://www.google.com/order-ahead-2"
15,My Business,"7151, rue Jean-Talon est, 8e étage",,,,,,Anjou,QC,CA,H1M 3N8,,,(506) 234-5693,"(506) 234-5694, (506) 234-5695",https://www.google.com,Restaurant,"Ice cream shop,Pizza delivery",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,23:00-02:00,"2026-12-31: 05:00-23:00, 2027-01-01: x","We are an independent ice cream shop located steps from the center of town, and are proud to be the favorite for locals to meet friends for a cone or call for a fresh pizza, delivered straight to their home. We serve 35 flavors of homemade, hand-churned ice creams and sorbets year-round, and the pizza oven turns out New York-style pies every day from midday until close. Come see us today!",,https://www.gstatic.com/images/branding/product/2x/google_my_business_512dp.png,https://lh5.googleusercontent.com/-PHmqjc_EgoM/Vo1zG1aivdI/AAAAAAAAMdc/QiMFMYVulFsnyBNr8f82we9tmZ9_VSb-w/w2048-h1152-no/02-coverphotos-googleplus.png,"https://www.gstatic.com/images/branding/product/2x/google_plus_512dp.png, https://www.gstatic.com/images/branding/product/1x/chrome_512dp.png","High-traffic, Recently opened",(506) 234-5697,Free (free_wi_fi),Yes,,No,Yes,https://www.google.com/menu,"https://www.google.com/order-ahead-1, https://www.google.com/order-ahead-2"
16,My Business,Pasaje Veracruz 1098,,,,,,Antogagasta,II Región,CL,,,,600 123 472,"600 123 473, 600 123 474",https://www.google.com,Restaurant,"Ice cream shop,Pizza delivery",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,23:00-02:00,"2026-12-31: 05:00-23:00, 2027-01-01: x","We are an independent ice cream shop located steps from the center of town, and are proud to be the favorite for locals to meet friends for a cone or call for a fresh pizza, delivered straight to their home. We serve 35 flavors of homemade, hand-churned ice creams and sorbets year-round, and the pizza oven turns out New York-style pies every day from midday until close. Come see us today!",,https://www.gstatic.com/images/branding/product/2x/google_my_business_512dp.png,https://lh5.googleusercontent.com/-PHmqjc_EgoM/Vo1zG1aivdI/AAAAAAAAMdc/QiMFMYVulFsnyBNr8f82we9tmZ9_VSb-w/w2048-h1152-no/02-coverphotos-googleplus.png,"https://www.gstatic.com/images/branding/product/2x/google_plus_512dp.png, https://www.gstatic.com/images/branding/product/1x/chrome_512dp.png","High-traffic, Recently opened",600 123 476,Free (free_wi_fi),Yes,Yes,No,Yes,https://www.google.com/menu,"https://www.google.com/order-ahead-1, https://www.google.com/order-ahead-2"
17,My Business,Camino Agua del Carrizal 9472,,,,,,Santiago,Región Metropolitana,CL,,,,600 123 473,"600 123 474, 600 123 475",https://www.google.com,Restaurant,"Ice cream shop,Pizza delivery",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,23:00-02:00,"2026-12-31: 05:00-23:00, 2027-01-01: x","We are an independent ice cream shop located steps from the center of town, and are proud to be the favorite for locals to meet friends for a cone or call for a fresh pizza, delivered straight to their home. We serve 35 flavors of homemade, hand-churned ice creams and sorbets year-round, and the pizza oven turns out New York-style pies every day from midday until close. Come see us today!",,https://www.gstatic.com/images/branding/product/2x/google_my_business_512dp.png,https://lh5.googleusercontent.com/-PHmqjc_EgoM/Vo1zG1aivdI/AAAAAAAAMdc/QiMFMYVulFsnyBNr8f82we9tmZ9_VSb-w/w2048-h1152-no/02-coverphotos-googleplus.png,"https://www.gstatic.com/images/branding/product/2x/google_plus_512dp.png, https://www.gstatic.com/images/branding/product/1x/chrome_512dp.png","High-traffic, Recently opened",600 123 477,Free (free_wi_fi),Yes,No,,Yes,https://www.google.com/menu,"https://www.google.com/order-ahead-1, https://www.google.com/order-ahead-2"
18,My Business,Calle 70 #6-09,,,,,,,Bogotá,CO,,,,(601) 2345696,"(601) 2345697, (601) 2345698",https://www.google.com,Restaurant,"Ice cream shop,Pizza delivery",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,23:00-02:00,"2026-12-31: 05:00-23:00, 2027-01-01: x","We are an independent ice cream shop located steps from the center of town, and are proud to be the favorite for locals to meet friends for a cone or call for a fresh pizza, delivered straight to their home. We serve 35 flavors of homemade, hand-churned ice creams and sorbets year-round, and the pizza oven turns out New York-style pies every day from midday until close. Come see us today!",,https://www.gstatic.com/images/branding/product/2x/google_my_business_512dp.png,https://lh5.googleusercontent.com/-PHmqjc_EgoM/Vo1zG1aivdI/AAAAAAAAMdc/QiMFMYVulFsnyBNr8f82we9tmZ9_VSb-w/w2048-h1152-no/02-coverphotos-googleplus.png,"https://www.gstatic.com/images/branding/product/2x/google_plus_512dp.png, https://www.gstatic.com/images/branding/product/1x/chrome_512dp.png","High-traffic, Recently opened",(601) 2345700,Free (free_wi_fi),Yes,,,Yes,https://www.google.com/menu,"https://www.google.com/order-ahead-1, https://www.google.com/order-ahead-2"
19,My Business,Kaufinger Straße 32,,,,,,München,,DE,80331,,,030 123475,"030 123476, 030 123477",https://www.google.com,Restaurant,"Ice cream shop,Pizza delivery",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,23:00-02:00,"2026-12-31: 05:00-23:00, 2027-01-01: x","We are an independent ice cream shop located steps from the center of town, and are proud to be the favorite for locals to meet friends for a cone or call for a fresh pizza, delivered straight to their home. We serve 35 flavors of homemade, hand-churned ice creams and sorbets year-round, and the pizza oven turns out New York-style pies every day from midday until close. Come see us today!",,https://www.gstatic.com/images/branding/product/2x/google_my_business_512dp.png,https://lh5.googleusercontent.com/-PHmqjc_EgoM/Vo1zG1aivdI/AAAAAAAAMdc/QiMFMYVulFsnyBNr8f82we9tmZ9_VSb-w/w2048-h1152-no/02-coverphotos-googleplus.png,"https://www.gstatic.com/images/branding/product/2x/google_plus_512dp.png, https://www.gstatic.com/images/branding/product/1x/chrome_512dp.png","High-traffic, Recently opened",030 123479,Free (free_wi_fi),Yes,Yes,Yes,Yes,https://www.google.com/menu,"https://www.google.com/order-ahead-1, https://www.google.com/order-ahead-2"
20,My Business,Sand 38,,,,,,Hamburg,,DE,21073,,,030 123476,"030 123477, 030 123478",https://www.google.com,Restaurant,"Ice cream shop,Pizza delivery",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,23:00-02:00,"2026-12-31: 05:00-23:00, 2027-01-01: x","We are an independent ice cream shop located steps from the center of town, and are proud to be the favorite for locals to meet friends for a cone or call for a fresh pizza, delivered straight to their home. We serve 35 flavors of homemade, hand-churned ice creams and sorbets year-round, and the pizza oven turns out New York-style pies every day from midday until close. Come see us today!",,https://www.gstatic.com/images/branding/product/2x/google_my_business_512dp.png,https://lh5.googleusercontent.com/-PHmqjc_EgoM/Vo1zG1aivdI/AAAAAAAAMdc/QiMFMYVulFsnyBNr8f82we9tmZ9_VSb-w/w2048-h1152-no/02-coverphotos-googleplus.png,"https://www.gstatic.com/images/branding/product/2x/google_plus_512dp.png, https://www.gstatic.com/images/branding/product/1x/chrome_512dp.png","High-traffic, Recently opened",030 123480,Free (free_wi_fi),Yes,No,Yes,Yes,https://www.google.com/menu,"https://www.google.com/order-ahead-1, https://www.google.com/order-ahead-2"
21,My Business,Amtsfeldstraße 74b,,,,,,Wernigerode,,DE,38855,,,030 123477,"030 123478, 030 123479",https://www.google.com,Restaurant,"Ice cream shop,Pizza delivery",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,23:00-02:00,"2026-12-31: 05:00-23:00, 2027-01-01: x","We are an independent ice cream shop located steps from the center of town, and are proud to be the favorite for locals to meet friends for a cone or call for a fresh pizza, delivered straight to their home. We serve 35 flavors of homemade, hand-churned ice creams and sorbets year-round, and the pizza oven turns out New York-style pies every day from midday until close. Come see us today!",,https://www.gstatic.com/images/branding/product/2x/google_my_business_512dp.png,https://lh5.googleusercontent.com/-PHmqjc_EgoM/Vo1zG1aivdI/AAAAAAAAMdc/QiMFMYVulFsnyBNr8f82we9tmZ9_VSb-w/w2048-h1152-no/02-coverphotos-googleplus.png,"https://www.gstatic.com/images/branding/product/2x/google_plus_512dp.png, https://www.gstatic.com/images/branding/product/1x/chrome_512dp.png","High-traffic, Recently opened",030 123481,Free (free_wi_fi),Yes,,No,Yes,https://www.google.com/menu,"https://www.google.com/order-ahead-1, https://www.google.com/order-ahead-2"
