Attribute,Attribute type,Acceptable values
Payments: Prepayment plan (accepts_prepayment_plan),Yes/no,"Yes, No"
Payments: Rakuten Pay (pay_epayment_rakuten_pay),Yes/no,"Yes, No"
Payments: Ticket Restaurant (accepts_ticket_restaurant_meal_voucher),Yes/no,"Yes, No"
Payments: Transit IC cards (pay_epayment_transit_ic),Yes/no,"Yes, No"
Payments: V-Money (pay_epayment_v_money),Yes/no,"Yes, No"
Payments: VR (accepts_vr_meal_voucher),Yes/no,"Yes, No"
Payments: au PAY (pay_epayment_aupay),Yes/no,"Yes, No"
Payments: dBarai (pay_epayment_dbarai),Yes/no,"Yes, No"
Pets: Dog park (has_dog_park),Yes/no,"Yes, No"
Pets: Dogs allowed (welcomes_dogs),Yes/no,"Yes, No"
Pets: Dogs allowed inside (allows_dogs_inside),Yes/no,"Yes, No"
Pets: Dogs allowed off leash (allows_dogs_offleash),Yes/no,"Yes, No"
Pets: Dogs allowed outside (allows_dogs_outside),Yes/no,"Yes, No"
Planning: Accepts new NHS patients (accepts_new_nhs_patients),Yes/no,"Yes, No"
Planning: Accepts reservations (accepts_reservations),Yes/no,"Yes, No"
Planning: Accepts walk-ins (accepts_walk_ins),Yes/no,"Yes, No"
Planning: Appointment required (requires_appointments),Yes/no,"Yes, No"
Planning: Dress code (has_dress_code),Yes/no,"Yes, No"
Planning: Eligibility requirement (requires_eligibility_verification),Yes/no,"Yes, No"
Planning: Membership required (requires_membership),Yes/no,"Yes, No"
Planning: Reservations required (requires_reservations),Yes/no,"Yes, No"
Popular for: Good for working on laptop (suitable_for_working_on_laptop),Yes/no,"Yes, No"
Recycling: Batteries (has_recycling_batteries),Yes/no,"Yes, No"
Recycling: Clothing (has_recycling_clothing),Yes/no,"Yes, No"
Recycling: Electronics (has_recycling_electronics),Yes/no,"Yes, No"
Recycling: Glass bottles (has_recycling_glass_bottles),Yes/no,"Yes, No"
Recycling: Hazardous household materials (has_recycling_household_hazardous_waste),Yes/no,"Yes, No"
Recycling: Ink cartridges (has_recycling_ink_cartridges),Yes/no,"Yes, No"
Recycling: Light bulbs (has_recycling_light_bulbs),Yes/no,"Yes, No"
Recycling: Metal cans (has_recycling_metal_cans),Yes/no,"Yes, No"
Recycling: Plastic bags (has_recycling_plastic_bags),Yes/no,"Yes, No"
Recycling: Plastic bottles (has_recycling_plastic_bottles),Yes/no,"Yes, No"
Recycling: Plastic foam (has_recycling_plastic_foam),Yes/no,"Yes, No"
Service options: Curbside pickup (has_curbside_pickup),Yes/no,"Yes, No"
Service options: Delivery (has_delivery),Yes/no,"Yes, No"
Service options: Dine-in (serves_dine_in),Yes/no,"Yes, No"
Service options: Drive-through (has_drive_through),Yes/no,"Yes, No"
Service options: Grocery pickup (has_grocery_pickup),Yes/no,"Yes, No"
Service options: In-store pickup (has_in_store_pickup),Yes/no,"Yes, No"
Service options: In-store shopping (has_in_store_shopping),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): American Sign Language (american_sign_language_used),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Arabic (arabic_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Cantonese (cantonese_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): English (english_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Filipino (filipino_spoken),Yes/no,"Yes, No"
